ID,ArrivalDate,ServiceDate,DepartureDate
175914340420112260015921821917291325373,2021-06-01 08:30:11.828856900,2021-06-01 08:38:04.310580300,2021-06-01 09:17:49.467393840
153788824662579004404738192112908005867,2021-06-01 08:31:08.767420920,2021-06-01 08:39:16.203468600,2021-06-01 08:43:40.143659340
75139480759134461349650665256286882606,2021-06-01 08:36:03.944285160,2021-06-01 08:44:02.878781160,2021-06-01 08:47:53.945800440
284941873715510291904018157259504550865,2021-06-01 08:37:00.183850380,2021-06-01 08:45:19.095599220,2021-06-01 09:13:13.301578860
58559028303893009298870410170713987948,2021-06-01 08:39:00.777299280,2021-06-01 08:44:37.090772460,2021-06-01 08:51:33.618981180
31086924142368959190912091221850218848,2021-06-01 08:40:02.339916840,2021-06-01 08:47:57.669793620,2021-06-01 09:01:09.381631020
156699971203252596769818097768113674867,2021-06-01 08:42:08.839879200,2021-06-01 08:51:54.937272720,2021-06-01 09:25:59.606976060
118939027822999437716254391405765351548,2021-06-01 08:44:03.952951080,2021-06-01 08:51:22.396442100,2021-06-01 09:54:58.065756720
142364949925536381251485581107538434348,2021-06-01 08:47:09.405623640,2021-06-01 08:53:51.916598280,2021-06-01 09:17:53.455734360
3506308166028691453764923535586037263,2021-06-01 08:48:00.023717880,2021-06-01 08:56:22.676734260,2021-06-01 08:56:59.510840100
67640759833204417354660599659550057855,2021-06-01 08:49:01.406282820,2021-06-01 08:55:17.485179120,2021-06-01 09:42:03.411190800
339824230160687183705064967858863424679,2021-06-01 08:49:09.182704140,2021-06-01 08:57:38.938826340,2021-06-01 09:05:16.028950200
310413419115300871704118801710038081827,2021-06-01 08:49:37.989390600,2021-06-01 08:57:57.239221200,2021-06-01 10:14:33.488683740
45095755989203569076747927810576422289,2021-06-01 08:50:09.263469300,2021-06-01 08:58:47.251910220,2021-06-01 09:24:05.093111760
236847050279213155958491305438835782064,2021-06-01 08:52:00.698707800,2021-06-01 08:59:28.507922820,2021-06-01 09:28:47.377608720
268979014872374012745785432698552906947,2021-06-01 08:54:02.266798920,2021-06-01 09:01:23.257872000,2021-06-01 09:43:57.745135980
223131130737713173066662802090901894110,2021-06-01 08:54:07.096007880,2021-06-01 09:02:39.549794820,2021-06-01 09:04:48.560819100
155383038077418280542024394556763281611,2021-06-01 08:55:10.297024920,2021-06-01 09:03:18.937736820,2021-06-01 09:21:16.213473240
220998242190799952338935801751678191899,2021-06-01 08:57:12.417015420,2021-06-01 09:04:23.273593860,2021-06-01 09:05:35.710605480
158671273538950760598102476784999266859,2021-06-01 08:57:14.775618240,2021-06-01 09:03:42.106437480,2021-06-01 09:38:25.561508460
74265796801656974645399247983533177329,2021-06-01 08:58:15.355659059,2021-06-01 09:06:03.497108039,2021-06-01 09:16:15.720257639
277765906885971634655150388815160663266,2021-06-01 08:59:06.946306320,2021-06-01 09:05:57.986674020,2021-06-01 09:27:21.135460080
223356456313585610590483782171590353731,2021-06-01 09:00:07.246653240,2021-06-01 09:08:09.109525140,2021-06-01 09:22:51.120744960
248592302706872290002891604540914276490,2021-06-01 09:01:00.071644680,2021-06-01 09:09:05.833130040,2021-06-01 09:26:03.298282500
117810191825402716064396970207848585114,2021-06-01 09:04:05.738330280,2021-06-01 09:12:42.521982600,2021-06-01 09:35:20.569678080
326856675842244619470721234123145558369,2021-06-01 09:04:06.367947240,2021-06-01 09:11:57.437115060,2021-06-01 09:21:17.539309440
242205642032852475933375151201666641269,2021-06-01 09:04:08.852760060,2021-06-01 09:12:33.341477220,2021-06-01 09:21:39.730045860
337802523709962343143290397270843255052,2021-06-01 09:05:07.627148519,2021-06-01 09:14:51.265610339,2021-06-01 09:25:34.670481599
311782386043839009188666360586007164183,2021-06-01 09:06:00.794385420,2021-06-01 09:16:12.409983420,2021-06-01 09:24:25.295383080
272619925579428221995452182358769381537,2021-06-01 09:06:08.198535840,2021-06-01 09:14:59.916906000,2021-06-01 09:20:55.953485520
333517955366098000642803971155251667533,2021-06-01 09:06:08.419575000,2021-06-01 09:14:44.425005720,2021-06-01 09:45:34.379973060
111110749594960218784344703366026667836,2021-06-01 09:06:17.660645460,2021-06-01 09:14:44.992587960,2021-06-01 09:17:52.089240960
97059352369425214910232251482573204797,2021-06-01 09:07:05.232627600,2021-06-01 09:14:23.576128200,2021-06-01 09:33:11.737871520
95210968669164056975761398306514607197,2021-06-01 09:09:13.521351000,2021-06-01 09:15:26.090126760,2021-06-01 09:25:03.040985640
36894915437241150125634898757395852938,2021-06-01 09:11:05.113523700,2021-06-01 09:19:35.983405620,2021-06-01 10:16:01.194177180
233215082063296610141080196321708677733,2021-06-01 09:13:01.552889700,2021-06-01 09:17:30.502341180,2021-06-01 10:26:39.004882980
281170159095372289111182441863549846135,2021-06-01 09:13:08.474925840,2021-06-01 09:21:40.879846980,2021-06-01 09:28:39.723342660
206841357199426601994319038899213191362,2021-06-01 09:16:02.628535140,2021-06-01 09:25:06.669954720,2021-06-01 09:40:22.034549580
115156369343062687435702248404182720506,2021-06-01 09:17:00.300401340,2021-06-01 09:25:56.901951780,2021-06-01 09:47:25.886027940
51070520457176610733696533171147517657,2021-06-01 09:18:00.051850440,2021-06-01 09:25:28.492763700,2021-06-01 09:40:31.799076480
140195333594294113208475309204465360475,2021-06-01 09:19:00.339408120,2021-06-01 09:26:38.449312680,2021-06-01 09:42:43.328506800
90453156288790290934573226121158177667,2021-06-01 09:19:01.859794800,2021-06-01 09:26:56.749587240,2021-06-01 09:32:24.454930440
239535862784694145242913686326301463170,2021-06-01 09:21:02.145438840,2021-06-01 09:29:08.962217160,2021-06-01 10:27:05.796914100
83431335711272046180529502211345188724,2021-06-01 09:22:05.426301720,2021-06-01 09:28:36.499171500,2021-06-01 10:14:48.434863320
235420667731118395335926880342931622821,2021-06-01 09:23:00.385559220,2021-06-01 09:30:25.531231680,2021-06-01 09:42:12.732634980
9414535729887000346181907755207701821,2021-06-01 09:26:01.818850980,2021-06-01 09:35:09.988532640,2021-06-01 09:53:06.492481440
253559084982934914108777370478637700025,2021-06-01 09:26:06.305985360,2021-06-01 09:34:47.663008740,2021-06-01 09:35:50.170679460
121138893818054205848133026365726847332,2021-06-01 09:27:20.835242280,2021-06-01 09:35:24.144805500,2021-06-01 09:51:36.106364640
125458052049379382540303212936095770956,2021-06-01 09:28:03.353490060,2021-06-01 09:34:50.716581780,2021-06-01 10:07:23.006773800
119674024092374670762793390323752429968,2021-06-01 09:29:00.288548760,2021-06-01 09:36:55.894248720,2021-06-01 10:10:27.362824980
309733624236722342171933094099761646986,2021-06-01 09:31:02.593629780,2021-06-01 09:42:00.279381480,2021-06-01 09:43:26.461678980
8788886625630688152514662389518122864,2021-06-01 09:32:01.499511120,2021-06-01 09:39:26.145847800,2021-06-01 09:39:35.143606260
41869910615997446236133803481897276030,2021-06-01 09:32:06.174668460,2021-06-01 09:41:24.104335380,2021-06-01 09:46:21.809475000
289172177272026151888047433587707013134,2021-06-01 09:36:00.899025360,2021-06-01 09:44:08.336215980,2021-06-01 09:58:33.110230260
126698444197667582088374586020910778904,2021-06-01 09:36:02.997498960,2021-06-01 09:44:07.350930660,2021-06-01 09:44:59.567811840
156429991545437904200059150222900273941,2021-06-01 09:38:00.640179420,2021-06-01 09:47:29.959790700,2021-06-01 09:48:58.373382540
158123794763109685425581900218709049440,2021-06-01 09:39:00.504427860,2021-06-01 09:45:57.164194020,2021-06-01 10:42:03.597610860
204566047470354170844133598143065093010,2021-06-01 09:42:07.134878220,2021-06-01 09:49:47.377819740,2021-06-01 09:51:01.110203940
109140395309768999041238878278777942952,2021-06-01 09:45:02.140142220,2021-06-01 09:51:57.723651540,2021-06-01 09:53:18.606585900
120169652549157112449851483627362130565,2021-06-01 09:45:08.754525120,2021-06-01 09:53:18.276304020,2021-06-01 11:07:32.597896680
292144444740877611210397131350190860019,2021-06-01 09:52:00.927022800,2021-06-01 10:00:58.159532400,2021-06-01 10:13:00.668394780
65129947789566415989025531180971947775,2021-06-01 09:52:16.910543280,2021-06-01 09:57:52.473758460,2021-06-01 10:07:03.203627820
120796163116458095114288369626107661231,2021-06-01 09:53:01.318655160,2021-06-01 10:00:23.900520360,2021-06-01 10:04:13.699409460
188716632603492113327844767081974155960,2021-06-01 09:53:03.306524520,2021-06-01 10:00:53.263792740,2021-06-01 10:17:36.937784220
16065786635370842168498901670197212435,2021-06-01 09:53:07.606586339,2021-06-01 10:01:53.958589139,2021-06-01 10:09:10.920995579
1029600701373618449214985467031862314,2021-06-01 09:54:00.037150500,2021-06-01 10:00:10.556483760,2021-06-01 11:28:15.904699740
66119713110122122520734973012508450492,2021-06-01 09:54:05.916408960,2021-06-01 10:02:15.369936000,2021-06-01 10:28:04.376713440
196981731172808157211310635138702694184,2021-06-01 09:57:01.852865640,2021-06-01 10:05:53.331747720,2021-06-01 10:20:57.259542360
257400036188239338068933368684556818977,2021-06-01 09:57:08.219337600,2021-06-01 10:05:28.363677900,2021-06-01 10:08:58.883990760
252132885066969915326478620071265136438,2021-06-01 09:57:10.810932900,2021-06-01 10:04:57.368242200,2021-06-01 10:06:25.179599820
157253095268430868443608880023951507390,2021-06-01 09:58:01.164605820,2021-06-01 10:04:53.795056860,2021-06-01 10:43:14.462370180
249684297483583874595649914939887880531,2021-06-01 10:01:10.857849000,2021-06-01 10:09:02.412642900,2021-06-01 10:39:24.268231380
278331159247195300358852677755333145328,2021-06-01 10:02:01.139389800,2021-06-01 10:09:39.353706120,2021-06-01 10:19:36.129658980
172026309217515810513263031861585839208,2021-06-01 10:06:21.855328800,2021-06-01 10:15:18.259578660,2021-06-01 10:17:32.891546100
271593319091008439305884655476965722994,2021-06-01 10:07:04.442443560,2021-06-01 10:15:26.209312800,2021-06-01 10:36:13.546314540
139631139551687622422172070304346883609,2021-06-01 10:07:08.772028740,2021-06-01 10:13:49.252199340,2021-06-01 10:15:31.121160360
10330920956896168919162909439930063276,2021-06-01 10:07:14.031608880,2021-06-01 10:15:49.386248520,2021-06-01 10:19:35.869879260
334310577970453293179731654083180384860,2021-06-01 10:09:08.643605580,2021-06-01 10:16:55.584127260,2021-06-01 10:37:40.617645780
42319754505018905325753939189661043739,2021-06-01 10:10:01.654539840,2021-06-01 10:18:31.672330560,2021-06-01 10:22:51.490275960
20436247127393315052436491030837970926,2021-06-01 10:11:09.677978460,2021-06-01 10:19:28.211831280,2021-06-01 10:25:11.986361100
31164083767302632798641878873942988203,2021-06-01 10:14:06.869458500,2021-06-01 10:22:11.905514880,2021-06-01 11:05:19.283973420
266243553294635522294428602543848299887,2021-06-01 10:14:11.152609560,2021-06-01 10:23:00.057064380,2021-06-01 10:23:24.152105040
44374388953580826951278984178445833321,2021-06-01 10:16:03.274303200,2021-06-01 10:23:03.561316800,2021-06-01 10:45:32.585353560
301756827577997426158268270906443922143,2021-06-01 10:17:12.354236040,2021-06-01 10:24:10.645810260,2021-06-01 10:42:44.860315620
115806304807325699879874295900086724461,2021-06-01 10:18:01.601076480,2021-06-01 10:27:09.007350360,2021-06-01 10:33:38.650883880
340105720857493239245099920014718181828,2021-06-01 10:19:01.864294680,2021-06-01 10:26:29.365309920,2021-06-01 10:49:09.376859280
263469175439592528035821070850359296305,2021-06-01 10:21:08.331423780,2021-06-01 10:28:40.332661440,2021-06-01 11:22:57.186095699
205836853924512468316888842972246200259,2021-06-01 10:22:00.306613560,2021-06-01 10:30:09.151695300,2021-06-01 10:53:01.072047840
120586988277432373250330720426508165625,2021-06-01 10:22:00.549540300,2021-06-01 10:29:55.294026420,2021-06-01 10:57:18.359514600
18041349276475677915383354522601474767,2021-06-01 10:22:01.399724520,2021-06-01 10:30:22.707520200,2021-06-01 10:31:45.291915780
145970843131740814419602263707190318255,2021-06-01 10:22:20.474560200,2021-06-01 10:30:22.767048360,2021-06-01 10:30:42.478691580
101406650608313087222104642458606161954,2021-06-01 10:23:09.674900460,2021-06-01 10:32:00.300225660,2021-06-01 10:40:51.287035620
309338983758755262506931947156699452169,2021-06-01 10:24:03.387130800,2021-06-01 10:34:31.013506560,2021-06-01 10:35:09.817726920
47948324903204497461748003581788321263,2021-06-01 10:24:10.463996160,2021-06-01 10:33:13.959721740,2021-06-01 10:46:58.882417620
274775658216078651401391261673268410487,2021-06-01 10:24:16.242870360,2021-06-01 10:32:20.467772580,2021-06-01 10:50:02.480752380
266186295164129026573173862980390491678,2021-06-01 10:25:08.802101340,2021-06-01 10:35:01.209260220,2021-06-01 11:03:15.239933940
154596837219418497955155230748371495158,2021-06-01 10:26:07.821703560,2021-06-01 10:34:44.405253180,2021-06-01 11:19:34.391047260
200933535852729161654883873657404602138,2021-06-01 10:27:00.433545000,2021-06-01 10:37:13.984797240,2021-06-01 10:46:38.827222920
277891972473712079539201067681588261770,2021-06-01 10:27:01.516009500,2021-06-01 10:34:37.199024340,2021-06-01 10:47:32.747375940
194530898271222180684337878965156754923,2021-06-01 10:28:02.266601520,2021-06-01 10:35:31.587707940,2021-06-01 10:36:05.661057659
53612756765466792371815238434428744741,2021-06-01 10:28:02.651440680,2021-06-01 10:34:34.159031880,2021-06-01 10:34:44.069802720
221149882941352460749897781032982908814,2021-06-01 10:29:25.752081420,2021-06-01 10:37:58.936793760,2021-06-01 10:49:39.306389520
241629271019352217852211457201882235890,2021-06-01 10:30:01.825580880,2021-06-01 10:37:56.044132740,2021-06-01 10:55:35.115644640
211337959260963113728566582948610803239,2021-06-01 10:30:13.165213380,2021-06-01 10:37:33.085198800,2021-06-01 10:46:36.795145620
236307874062832263322507802903975228164,2021-06-01 10:31:05.109606840,2021-06-01 10:39:52.671785640,2021-06-01 10:51:45.554365800
311674380831684355462108398013053228098,2021-06-01 10:33:02.800973400,2021-06-01 10:41:01.741817160,2021-06-01 11:04:04.769538660
17622215169385138522975876802881377374,2021-06-01 10:33:04.124832960,2021-06-01 10:40:06.364209360,2021-06-01 11:10:02.311319280
296929929703378741998717694612044216804,2021-06-01 10:35:04.461771360,2021-06-01 10:43:16.760651400,2021-06-01 10:46:23.877132420
159079770356130804214712461999240420114,2021-06-01 10:36:18.651019800,2021-06-01 10:44:53.715262980,2021-06-01 11:21:41.897822460
204716703045261038557203090004550824234,2021-06-01 10:37:00.287859540,2021-06-01 10:45:20.511875460,2021-06-01 11:32:29.492469300
279017386246523782100128537307330576238,2021-06-01 10:37:00.430644660,2021-06-01 10:45:54.055874280,2021-06-01 11:13:59.822932560
25732679709175019762320504901656713176,2021-06-01 10:37:36.571457340,2021-06-01 10:45:24.360971160,2021-06-01 11:10:46.578570420
184753556954610351668984844522145423644,2021-06-01 10:39:01.153973220,2021-06-01 10:45:19.496622660,2021-06-01 10:54:44.477924520
46722887478923705230113977159047581571,2021-06-01 10:39:03.532163160,2021-06-01 10:46:28.780849080,2021-06-01 11:11:45.594728939
332296994938498177592230084993226369317,2021-06-01 10:43:01.736949540,2021-06-01 10:51:56.119850340,2021-06-01 12:12:20.214389340
276234575975821946822833836304632357651,2021-06-01 10:44:00.417687600,2021-06-01 10:50:37.092844500,2021-06-01 11:03:06.934805640
21050574035498238018637484839287260820,2021-06-01 10:46:03.641825880,2021-06-01 10:54:37.433522760,2021-06-01 11:18:05.189711400
137075310145853450959808564410242310952,2021-06-01 10:50:10.263080340,2021-06-01 10:56:33.741839280,2021-06-01 12:18:53.665056000
184545947369072599872140473719919722153,2021-06-01 10:52:01.336467060,2021-06-01 11:00:40.150740480,2021-06-01 11:30:26.968245420
293356493612624708908527665395010792445,2021-06-01 10:53:11.022802140,2021-06-01 11:02:48.779689920,2021-06-01 11:38:46.038320580
39692134797006603536714141352325519067,2021-06-01 10:54:08.207250060,2021-06-01 11:01:59.458262700,2021-06-01 11:12:59.719966079
89997993361997347818910345852452253209,2021-06-01 10:56:00.634121760,2021-06-01 11:03:19.021797360,2021-06-01 11:10:46.519012440
3789807690786913378230105339609617589,2021-06-01 10:56:06.361565640,2021-06-01 11:04:55.930605900,2021-06-01 11:13:51.649216680
90426482466412014734114544999644699755,2021-06-01 10:56:09.153361680,2021-06-01 11:05:56.643537840,2021-06-01 11:26:35.337960660
